Unique_Sample_ID,Condition_Name,t#,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
RTG16_10,x62,t6,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t6-10.tsv,Abs,36,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_11,x62,t7,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t7-11.tsv,Abs,47,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_12,x62,t8,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t8-12.tsv,Abs,58,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_13,x62,t9,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x62-t9-13.tsv,Abs,62,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_16,x63,t0,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t0-16.tsv,Abs,0,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_27,x63,t10,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t10-27.tsv,Abs,64,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_17,x63,t1,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t1-17.tsv,Abs,2,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_18,x63,t2,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t2-18.tsv,Abs,5,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_19,x63,t3,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t3-19.tsv,Abs,8,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
RTG16_20,x63,t4,./lab-data-processed/cary300/2024-11/RTG16/2024-11-22-RTG16-x63-t4-20.tsv,Abs,15,blank1,1,250,349,-1,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
